Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000135148	TRAFD1	-71.307	1.063
ENSG00000198744	MTCO3P12	-3.557	1.059
ENSG00000137752	CASP1	-45.249	1.051
ENSG00000169242	EFNA1	-64.632	1.046
ENSG00000107738	C10orf54	-30.916	1.045
ENSG00000145545	SRD5A1	-57.030	1.040
ENSG00000083223	ZCCHC6	-39.032	1.038
ENSG00000196743	GM2A	-69.358	1.038
ENSG00000169220	RGS14	-26.087	1.036
ENSG00000205213	LGR4	-33.104	1.032
ENSG00000106546	AHR	-15.676	1.009
ENSG00000151914	DST	-47.417	1.005
ENSG00000114023	FAM162A	-51.558	1.005
ENSG00000087586	AURKA	-43.994	1.000
ENSG00000132613	MTSS1L	-32.523	0.998
ENSG00000166741	NNMT	-66.289	0.997
ENSG00000104320	NBN	-50.958	0.992
ENSG00000205981	DNAJC19	-24.109	0.989
ENSG00000265190	ANXA8	-79.900	0.985
ENSG00000188313	PLSCR1	-23.106	0.983
ENSG00000128609	NDUFA5	-45.922	0.983
ENSG00000150593	PDCD4	-68.347	0.977
ENSG00000148672	GLUD1	-72.210	0.971
ENSG00000121691	CAT	-63.628	0.971
ENSG00000274265	CH17-189H20.1	-16.299	0.971
ENSG00000182585	EPGN	-19.109	0.970
ENSG00000136521	NDUFB5	-62.341	0.970
ENSG00000068697	LAPTM4A	-62.928	0.967
ENSG00000206418	RAB12	-26.878	0.965
ENSG00000139116	KIF21A	-41.253	0.961
ENSG00000145335	SNCA	-18.165	0.958
ENSG00000100852	ARHGAP5	-39.537	0.954
ENSG00000233223	AC113189.5	-7.355	0.951
ENSG00000066135	KDM4A	-45.968	0.951
ENSG00000137975	CLCA2	-62.208	0.939
ENSG00000111707	SUDS3	-41.617	0.939
ENSG00000117335	CD46	-56.665	0.937
ENSG00000163701	IL17RE	-34.504	0.936
ENSG00000121022	COPS5	-60.124	0.931
ENSG00000266412	NCOA4	-75.587	0.931
ENSG00000128699	ORMDL1	-33.922	0.929
ENSG00000224858	RPL29P11	-1.526	0.927
ENSG00000184007	PTP4A2	-60.566	0.927
ENSG00000174684	B4GAT1	-22.595	0.927
ENSG00000133393	FOPNL	-22.153	0.923
ENSG00000103260	METRN	-17.045	0.920
ENSG00000163032	VSNL1	-23.811	0.920
ENSG00000113583	C5orf15	-54.109	0.918
ENSG00000168297	PXK	-16.178	0.898
ENSG00000198729	PPP1R14C	-30.439	0.895
ENSG00000169764	UGP2	-51.168	0.891
ENSG00000064995	TAF11	-22.899	0.889
ENSG00000092201	SUPT16H	-60.090	0.889
ENSG00000113369	ARRDC3	-29.687	0.886
ENSG00000096060	FKBP5	-55.987	0.885
ENSG00000105856	HBP1	-44.163	0.884
ENSG00000137699	TRIM29	-71.650	0.884
ENSG00000164070	HSPA4L	-41.120	0.883
ENSG00000151726	ACSL1	-53.716	0.881
ENSG00000134352	IL6ST	-39.843	0.878
ENSG00000237289	CKMT1B	-6.639	0.876
ENSG00000106052	TAX1BP1	-50.460	0.875
ENSG00000006125	AP2B1	-54.957	0.872
ENSG00000159228	CBR1	-42.493	0.867
ENSG00000135521	LTV1	-28.434	0.867
ENSG00000112378	PERP	-64.423	0.862
ENSG00000069956	MAPK6	-34.853	0.862
ENSG00000035687	ADSS	-54.693	0.862
ENSG00000120053	GOT1	-34.466	0.860
ENSG00000104904	OAZ1	-62.599	0.860
ENSG00000120694	HSPH1	-34.358	0.857
ENSG00000165678	GHITM	-54.960	0.857
ENSG00000233476	EEF1A1P6	-4.806	0.857
ENSG00000118898	PPL	-28.225	0.854
ENSG00000068745	IP6K2	-51.010	0.848
ENSG00000109133	TMEM33	-32.430	0.839
ENSG00000185201	IFITM2	-14.530	0.832
ENSG00000170561	IRX2	-22.353	0.828
ENSG00000078668	VDAC3	-47.334	0.820
ENSG00000157557	ETS2	-24.222	0.820
ENSG00000070367	EXOC5	-26.428	0.817
ENSG00000139350	NEDD1	-32.930	0.817
ENSG00000137575	SDCBP	-39.876	0.815
ENSG00000148175	STOM	-36.270	0.810
ENSG00000162729	IGSF8	-45.337	0.810
ENSG00000145632	PLK2	-27.001	0.805
ENSG00000184743	ATL3	-38.679	0.804
ENSG00000028116	VRK2	-12.770	0.804
ENSG00000130779	CLIP1	-29.352	0.800
ENSG00000143217	NECTIN4	-15.057	0.799
ENSG00000104687	GSR	-28.733	0.799
ENSG00000244045	TMEM199	-16.088	0.798
ENSG00000134851	TMEM165	-31.820	0.797
ENSG00000107262	BAG1	-45.500	0.797
ENSG00000149418	ST14	-38.636	0.794
ENSG00000087842	PIR	-29.404	0.793
ENSG00000173230	GOLGB1	-27.191	0.791
ENSG00000041880	PARP3	-22.540	0.789
ENSG00000163702	IL17RC	-23.716	0.787
ENSG00000141582	CBX4	-24.149	0.787
ENSG00000117500	TMED5	-31.061	0.786
ENSG00000143390	RFX5	-42.573	0.785
ENSG00000117242	PINK1-AS	-5.106	0.784
ENSG00000184009	ACTG1	-37.594	0.783
ENSG00000173409	ARV1	-32.859	0.782
ENSG00000116874	WARS2	-20.087	0.781
ENSG00000147676	MAL2	-12.442	0.781
ENSG00000099204	ABLIM1	-25.929	0.779
ENSG00000187109	NAP1L1	-52.109	0.779
ENSG00000103811	CTSH	-35.311	0.777
ENSG00000147364	FBXO25	-30.465	0.776
ENSG00000145779	TNFAIP8	-29.190	0.773
ENSG00000144597	EAF1	-22.728	0.772
ENSG00000116001	TIA1	-33.005	0.769
ENSG00000143590	EFNA3	-7.055	0.769
ENSG00000150403	TMCO3	-42.058	0.765
ENSG00000100938	GMPR2	-38.964	0.764
ENSG00000196072	BLOC1S2	-37.962	0.763
ENSG00000179085	DPM3	-9.724	0.761
ENSG00000164117	FBXO8	-11.484	0.760
ENSG00000093144	ECHDC1	-34.716	0.756
ENSG00000122378	FAM213A	-43.982	0.756
ENSG00000163584	RPL22L1	-25.237	0.756
ENSG00000136436	CALCOCO2	-41.411	0.755
ENSG00000180185	FAHD1	-22.576	0.755
ENSG00000124802	EEF1E1	-9.815	0.753
ENSG00000185515	BRCC3	-15.250	0.751
ENSG00000198712	MT-CO2	-32.733	0.750
ENSG00000115840	SLC25A12	-21.980	0.749
ENSG00000141424	SLC39A6	-39.984	0.748
ENSG00000251580	RP11-539L10.3	-3.978	0.747
ENSG00000012660	ELOVL5	-35.218	0.747
ENSG00000104325	DECR1	-37.423	0.744
ENSG00000091483	FH	-38.176	0.742
ENSG00000106733	NMRK1	-18.698	0.741
ENSG00000213928	IRF9	-2.542	0.741
ENSG00000143633	C1orf131	-20.259	0.740
ENSG00000184292	TACSTD2	-24.369	0.739
ENSG00000183421	RIPK4	-37.416	0.739
ENSG00000163807	KIAA1143	-27.100	0.739
ENSG00000260669	AL136419.6	-1.549	0.737
ENSG00000050748	MAPK9	-32.942	0.735
ENSG00000165030	NFIL3	-20.924	0.735
ENSG00000130312	MRPL34	-22.216	0.735
ENSG00000135766	EGLN1	-29.170	0.733
ENSG00000171503	ETFDH	-16.440	0.733
ENSG00000036054	TBC1D23	-18.347	0.733
ENSG00000103978	TMEM87A	-37.700	0.732
ENSG00000109062	SLC9A3R1	-22.824	0.728
ENSG00000023287	RB1CC1	-26.806	0.727
ENSG00000111653	ING4	-20.176	0.726
ENSG00000172366	MCRIP2	-26.679	0.726
ENSG00000188010	MORN2	-8.656	0.725
ENSG00000264230	ANXA8L1	-42.563	0.724
ENSG00000137440	FGFBP1	-6.298	0.723
ENSG00000013441	CLK1	-36.521	0.719
ENSG00000241494	RP11-796G6.1	-2.143	0.718
ENSG00000137970	RPL7P9	-32.266	0.716
ENSG00000115548	KDM3A	-22.014	0.715
ENSG00000110367	DDX6	-26.955	0.715
ENSG00000279088	RP11-574K11.24	-6.146	0.715
ENSG00000221930	FAM45BP	-3.340	0.715
ENSG00000184983	NDUFA6	-32.869	0.713
ENSG00000131051	RBM39	-35.970	0.712
ENSG00000119787	ATL2	-28.609	0.711
ENSG00000113851	CRBN	-22.421	0.710
ENSG00000089289	IGBP1	-36.706	0.709
ENSG00000131174	COX7B	-23.725	0.709
ENSG00000088448	ANKRD10	-25.116	0.707
ENSG00000100997	ABHD12	-19.558	0.706
ENSG00000116977	LGALS8	-36.026	0.704
ENSG00000010278	CD9	-41.365	0.704
ENSG00000123091	RNF11	-27.739	0.704
ENSG00000122786	CALD1	-42.682	0.702
ENSG00000115415	STAT1	-30.593	0.701
ENSG00000178449	COX14	-15.990	0.701
ENSG00000196154	S100A4	-13.164	0.700
ENSG00000157184	CPT2	-21.591	0.698
ENSG00000117984	CTSD	-40.600	0.697
ENSG00000160271	RALGDS	-13.469	0.695
ENSG00000108587	GOSR1	-15.811	0.695
ENSG00000149483	TMEM138	-22.333	0.694
ENSG00000167552	TUBA1A	-24.842	0.693
ENSG00000083720	OXCT1	-15.802	0.691
ENSG00000085871	MGST2	-26.397	0.690
ENSG00000204370	SDHD	-28.116	0.689
ENSG00000130348	QRSL1	-14.488	0.688
ENSG00000167653	PSCA	-8.205	0.687
ENSG00000231259	AC125232.1	-2.689	0.687
ENSG00000125827	TMX4	-32.433	0.686
ENSG00000087253	LPCAT2	-23.072	0.685
ENSG00000106588	PSMA2	-6.868	0.685
ENSG00000164305	CASP3	-23.933	0.685
ENSG00000168389	MFSD2A	-24.338	0.684
ENSG00000088682	COQ9	-28.624	0.683
ENSG00000108654	DDX5	-33.342	0.682
ENSG00000181061	HIGD1A	-11.844	0.682
ENSG00000198888	MT-ND1	-17.318	0.680
ENSG00000113732	ATP6V0E1	-30.795	0.680
ENSG00000129518	EAPP	-16.683	0.679
ENSG00000168610	STAT3	-24.254	0.679
ENSG00000163512	AZI2	-28.497	0.679
ENSG00000136689	IL1RN	-8.833	0.678
ENSG00000178980	SEPW1	-26.840	0.678
ENSG00000086827	ZW10	-16.256	0.678
ENSG00000136003	ISCU	-25.967	0.677
ENSG00000151366	NDUFC2	-8.620	0.675
ENSG00000101474	APMAP	-31.887	0.675
ENSG00000183513	COA5	-9.579	0.674
ENSG00000089356	FXYD3	-29.444	0.674
ENSG00000105974	CAV1	-46.167	0.672
ENSG00000008018	PSMB1	-34.853	0.671
ENSG00000117528	ABCD3	-21.817	0.671
ENSG00000226950	DANCR	-27.121	0.669
ENSG00000176046	NUPR1	-25.373	0.669
ENSG00000006652	IFRD1	-25.942	0.668
ENSG00000104228	TRIM35	-29.707	0.668
ENSG00000142784	WDTC1	-19.040	0.667
ENSG00000166200	COPS2	-20.944	0.667
ENSG00000181029	TRAPPC5	-2.396	0.667
ENSG00000214485	RPL7P1	-25.815	0.666
ENSG00000185222	TCEAL9	-30.311	0.665
ENSG00000120256	LRP11	-22.820	0.665
ENSG00000156467	UQCRB	-28.098	0.665
ENSG00000143158	MPC2	-22.433	0.663
ENSG00000169469	SPRR1B	-19.555	0.663
ENSG00000196655	TRAPPC4	-22.194	0.662
ENSG00000226964	RHEBP2	-3.274	0.660
ENSG00000174080	CTSF	-16.683	0.660
ENSG00000203837	PNLIPRP3	-12.238	0.659
ENSG00000178537	SLC25A20	-10.018	0.659
ENSG00000174744	BRMS1	-26.682	0.659
ENSG00000113328	CCNG1	-23.652	0.659
ENSG00000275052	PPP4R3B	-25.218	0.658
ENSG00000101782	RIOK3	-28.872	0.658
ENSG00000111011	RSRC2	-32.044	0.657
ENSG00000144867	SRPRB	-25.690	0.657
ENSG00000159658	EFCAB14	-22.538	0.656
ENSG00000165156	ZHX1	-25.586	0.656
ENSG00000059691	GATB	-15.734	0.656
ENSG00000188112	C6orf132	-14.546	0.655
ENSG00000250479	CHCHD10	-7.441	0.655
ENSG00000179918	SEPHS2	-26.151	0.654
ENSG00000259781	RP11-673C5.1	-11.430	0.654
ENSG00000174720	LARP7	-16.648	0.653
ENSG00000088766	CRLS1	-15.084	0.653
ENSG00000173226	IQCB1	-13.238	0.653
ENSG00000038274	MAT2B	-29.809	0.649
ENSG00000109572	CLCN3	-26.469	0.648
ENSG00000108604	SMARCD2	-30.377	0.646
ENSG00000005022	SLC25A5	-34.604	0.645
ENSG00000109083	IFT20	-12.014	0.645
ENSG00000132313	MRPL35	-21.599	0.643
ENSG00000060339	CCAR1	-35.383	0.642
ENSG00000138095	LRPPRC	-30.434	0.641
ENSG00000182827	ACBD3	-27.280	0.640
ENSG00000119801	YPEL5	-26.062	0.640
ENSG00000155621	C9orf85	-9.550	0.639
ENSG00000135940	COX5B	-17.446	0.638
ENSG00000127080	IPPK	-13.837	0.636
ENSG00000183283	DAZAP2	-36.330	0.636
ENSG00000136631	VPS45	-22.364	0.635
ENSG00000165644	COMTD1	-3.915	0.634
ENSG00000152558	TMEM123	-28.297	0.634
ENSG00000165832	TRUB1	-14.418	0.632
ENSG00000147400	CETN2	-20.014	0.631
ENSG00000137996	RTCA	-17.532	0.630
ENSG00000125124	BBS2	-16.361	0.630
ENSG00000164039	BDH2	-12.709	0.629
ENSG00000204634	TBC1D8	-15.780	0.629
ENSG00000067113	PLPP1	-5.204	0.629
ENSG00000117262	GPR89A	-4.168	0.627
ENSG00000125863	MKKS	-22.720	0.626
ENSG00000146072	TNFRSF21	-14.656	0.626
ENSG00000038210	PI4K2B	-7.280	0.625
ENSG00000279483	AC090498.1	-3.974	0.625
ENSG00000120837	NFYB	-12.013	0.625
ENSG00000073050	XRCC1	-14.626	0.625
ENSG00000133687	TMTC1	-14.504	0.625
ENSG00000176171	BNIP3	-18.987	0.625
ENSG00000251562	MALAT1	-8.051	0.624
ENSG00000238084	RP3-469D22.1	-3.563	0.624
ENSG00000048649	RSF1	-23.817	0.624
ENSG00000204310	AGPAT1	-28.579	0.623
ENSG00000172115	CYCS	-29.458	0.621
ENSG00000168003	SLC3A2	-28.632	0.620
ENSG00000101844	ATG4A	-6.000	0.619
ENSG00000229644	NAMPTP1	-8.730	0.619
ENSG00000183955	KMT5A	-13.377	0.618
ENSG00000163781	TOPBP1	-23.273	0.617
ENSG00000104361	NIPAL2	-22.469	0.615
ENSG00000197019	SERTAD1	-23.223	0.615
ENSG00000137509	PRCP	-30.883	0.615
ENSG00000150782	IL18	-27.642	0.614
ENSG00000152700	SAR1B	-17.215	0.614
ENSG00000164346	NSA2	-28.962	0.613
ENSG00000132406	TMEM128	-7.395	0.613
ENSG00000116459	ATP5F1	-24.901	0.613
ENSG00000147604	RPL7	-25.144	0.612
ENSG00000272888	LINC01578	-10.863	0.611
ENSG00000117640	MTFR1L	-16.950	0.611
ENSG00000197620	CXorf40A	-8.609	0.610
ENSG00000048028	USP28	-19.696	0.610
ENSG00000109854	HTATIP2	-28.189	0.609
ENSG00000283390	RP11-134F2.7	-2.256	0.609
ENSG00000198840	MT-ND3	-24.661	0.607
ENSG00000141510	TP53	-15.238	0.606
ENSG00000179604	CDC42EP4	-19.408	0.605
ENSG00000149218	ENDOD1	-14.407	0.604
ENSG00000115274	INO80B	-2.256	0.604
ENSG00000167325	RRM1	-22.258	0.602
ENSG00000063241	ISOC2	-24.137	0.602
ENSG00000132467	UTP3	-15.278	0.601
ENSG00000111678	C12orf57	-17.477	0.601
ENSG00000121897	LIAS	-9.219	0.599
ENSG00000243364	EFNA4	-6.824	0.599
ENSG00000144357	UBR3	-16.773	0.599
ENSG00000029363	BCLAF1	-26.944	0.599
ENSG00000110442	COMMD9	-20.370	0.598
ENSG00000106771	TMEM245	-15.376	0.598
ENSG00000170315	UBB	-25.814	0.597
ENSG00000023445	BIRC3	-16.035	0.597
ENSG00000178719	GRINA	-28.632	0.596
ENSG00000161970	RPL26	-20.519	0.596
ENSG00000107159	CA9	-3.393	0.596
ENSG00000116815	CD58	-9.144	0.596
ENSG00000148400	NOTCH1	-5.901	0.596
ENSG00000166411	IDH3A	-23.056	0.595
ENSG00000138413	IDH1	-25.619	0.595
ENSG00000131171	SH3BGRL	-17.808	0.594
ENSG00000107036	RIC1	-9.824	0.593
ENSG00000005483	KMT2E	-14.632	0.592
ENSG00000117748	RPA2	-16.426	0.592
ENSG00000008394	MGST1	-21.805	0.591
ENSG00000099812	MISP	-7.834	0.591
ENSG00000100644	HIF1A	-23.837	0.590
ENSG00000213920	MDP1	-1.915	0.590
ENSG00000084754	HADHA	-31.445	0.589
ENSG00000159377	PSMB4	-25.595	0.588
ENSG00000188739	RBM34	-1.866	0.588
ENSG00000246705	H2AFJ	-10.423	0.587
ENSG00000118855	MFSD1	-17.127	0.587
ENSG00000143164	DCAF6	-28.947	0.587
ENSG00000133104	SPG20	-29.572	0.586
ENSG00000179241	LDLRAD3	-13.167	0.586
ENSG00000072274	TFRC	-13.832	0.586
ENSG00000134717	BTF3L4	-11.920	0.586
ENSG00000123595	RAB9A	-16.149	0.586
ENSG00000145354	CISD2	-8.037	0.584
ENSG00000115657	ABCB6	-3.053	0.584
ENSG00000197579	TOPORS	-14.211	0.583
ENSG00000120686	UFM1	-22.150	0.583
ENSG00000100412	ACO2	-26.391	0.582
ENSG00000154518	ATP5G3	-25.178	0.582
ENSG00000106615	RHEB	-18.198	0.581
ENSG00000119013	NDUFB3	-14.743	0.581
ENSG00000164611	PTTG1	-22.559	0.581
ENSG00000223572	CKMT1A	-7.265	0.580
ENSG00000104408	EIF3E	-21.611	0.579
ENSG00000101019	UQCC1	-23.916	0.579
ENSG00000113384	GOLPH3	-13.479	0.578
ENSG00000091039	OSBPL8	-15.753	0.578
ENSG00000134440	NARS	-24.052	0.578
ENSG00000213757	CTC-451P13.1	-2.093	0.577
ENSG00000147853	AK3	-19.698	0.575
ENSG00000107281	NPDC1	-16.099	0.574
ENSG00000125249	RAP2A	-19.750	0.574
ENSG00000131791	PRKAB2	-12.543	0.573
ENSG00000111897	SERINC1	-19.689	0.572
ENSG00000176974	SHMT1	-10.406	0.572
ENSG00000155957	TMBIM4	-7.705	0.571
ENSG00000158234	FAIM	-5.746	0.570
ENSG00000168394	TAP1	-24.783	0.570
ENSG00000142856	ITGB3BP	-4.479	0.569
ENSG00000078674	PCM1	-20.936	0.569
ENSG00000245694	CRNDE	-7.322	0.568
ENSG00000144746	ARL6IP5	-25.714	0.568
ENSG00000129071	MBD4	-9.883	0.567
ENSG00000112245	PTP4A1	-23.642	0.567
ENSG00000132109	TRIM21	-10.103	0.567
ENSG00000112312	GMNN	-13.420	0.565
ENSG00000261183	RP11-532F12.5	-4.072	0.565
ENSG00000148444	COMMD3	-11.194	0.565
ENSG00000156976	EIF4A2	-18.041	0.565
ENSG00000196205	EEF1A1P5	-2.924	0.565
ENSG00000157456	CCNB2	-10.845	0.565
ENSG00000197217	ENTPD4	-15.128	0.565
ENSG00000056050	HPF1	-5.260	0.561
ENSG00000112983	BRD8	-19.359	0.561
ENSG00000230897	RPS18P12	-1.903	0.559
ENSG00000163870	TPRA1	-14.974	0.559
ENSG00000137955	RABGGTB	-19.499	0.558
ENSG00000128581	IFT22	-10.737	0.558
ENSG00000170855	TRIAP1	-17.102	0.556
ENSG00000055211	GINM1	-8.928	0.556
ENSG00000163362	C1orf106	-14.637	0.555
ENSG00000214194	LINC00998	-12.144	0.554
ENSG00000236992	RPL12P12	-1.966	0.554
ENSG00000139372	TDG	-13.544	0.554
ENSG00000134531	EMP1	-27.490	0.553
ENSG00000165630	PRPF18	-6.362	0.553
ENSG00000204427	ABHD16A	-1.995	0.553
ENSG00000056586	RC3H2	-14.513	0.553
ENSG00000127838	PNKD	-12.152	0.552
ENSG00000103051	COG4	-16.985	0.551
ENSG00000163220	S100A9	-3.525	0.550
ENSG00000226742	HSBP1L1	-6.923	0.550
ENSG00000164051	CCDC51	-25.640	0.549
ENSG00000171135	JAGN1	-22.685	0.549
ENSG00000073614	KDM5A	-16.895	0.548
ENSG00000086570	FAT2	-6.598	0.548
ENSG00000136156	ITM2B	-20.225	0.546
ENSG00000152683	SLC30A6	-10.546	0.546
ENSG00000025796	SEC63	-22.567	0.546
ENSG00000110328	GALNT18	-12.328	0.546
ENSG00000172086	KRCC1	-10.191	0.545
ENSG00000137942	FNBP1L	-13.073	0.545
ENSG00000212664	RP11-592N21.1	-2.296	0.545
ENSG00000166477	LEO1	-14.346	0.544
ENSG00000226221	RPL26P19	-7.897	0.544
ENSG00000110330	BIRC2	-19.430	0.543
ENSG00000162144	CYB561A3	-24.493	0.543
ENSG00000092148	HECTD1	-14.248	0.542
ENSG00000162231	NXF1	-15.599	0.542
ENSG00000130560	UBAC1	-22.252	0.541
ENSG00000113580	NR3C1	-13.430	0.541
ENSG00000091140	DLD	-20.514	0.540
ENSG00000092010	PSME1	-21.680	0.540
ENSG00000105835	NAMPT	-19.625	0.539
ENSG00000102743	SLC25A15	-5.668	0.538
ENSG00000120860	CCDC53	-8.532	0.537
ENSG00000100650	SRSF5	-18.130	0.536
ENSG00000106992	AK1	-4.682	0.536
ENSG00000163541	SUCLG1	-20.633	0.536
ENSG00000108406	DHX40	-12.122	0.535
ENSG00000101343	CRNKL1	-18.077	0.535
ENSG00000175197	DDIT3	-7.398	0.534
ENSG00000164758	MED30	-7.059	0.533
ENSG00000012822	CALCOCO1	-15.586	0.532
ENSG00000135241	PNPLA8	-10.382	0.532
ENSG00000130414	NDUFA10	-24.401	0.531
ENSG00000198130	HIBCH	-7.031	0.531
ENSG00000106605	BLVRA	-18.027	0.530
ENSG00000146701	MDH2	-24.011	0.530
ENSG00000171130	ATP6V0E2	-4.932	0.529
ENSG00000100211	CBY1	-6.475	0.529
ENSG00000198918	RPL39	-20.083	0.529
ENSG00000138399	FASTKD1	-9.124	0.529
ENSG00000082068	WDR70	-9.394	0.529
ENSG00000124466	LYPD3	-11.186	0.528
ENSG00000100664	EIF5	-18.670	0.527
ENSG00000130349	C6orf203	-3.548	0.526
ENSG00000017260	ATP2C1	-16.648	0.526
ENSG00000096092	TMEM14A	-9.597	0.525
ENSG00000230629	RPS23P8	-1.560	0.524
ENSG00000104332	SFRP1	-22.234	0.524
ENSG00000168000	BSCL2	-3.893	0.524
ENSG00000100902	PSMA6	-1.886	0.523
ENSG00000164823	OSGIN2	-10.944	0.523
ENSG00000024048	UBR2	-11.534	0.523
ENSG00000164902	PHAX	-16.502	0.522
ENSG00000147669	POLR2K	-13.485	0.521
ENSG00000173436	MINOS1	-9.196	0.521
ENSG00000127990	SGCE	-13.774	0.521
