Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000148344	PTGES	-195.203	1.334
ENSG00000279483	AC090498.1	-4.630	1.328
ENSG00000136108	CKAP2	-79.361	1.325
ENSG00000114346	ECT2	-91.769	1.321
ENSG00000173548	SNX33	-87.165	1.319
ENSG00000213406	ANXA2P1	-25.861	1.315
ENSG00000105976	MET	-145.605	1.311
ENSG00000107984	DKK1	-36.068	1.308
ENSG00000161638	ITGA5	-142.310	1.301
ENSG00000254413	CHKB-CPT1B	-2.365	1.301
ENSG00000179826	MRGPRX3	-95.197	1.300
ENSG00000024422	EHD2	-128.953	1.284
ENSG00000100697	DICER1	-85.030	1.282
ENSG00000085760	MTIF2	-124.855	1.282
ENSG00000196961	AP2A1	-106.630	1.281
ENSG00000231991	ANXA2P2	-200.423	1.274
ENSG00000143149	ALDH9A1	-122.724	1.271
ENSG00000113810	SMC4	-108.231	1.270
ENSG00000182718	ANXA2	-175.613	1.257
ENSG00000152518	ZFP36L2	-97.125	1.251
ENSG00000125246	CLYBL	-34.672	1.244
ENSG00000004700	RECQL	-102.362	1.232
ENSG00000108256	NUFIP2	-139.018	1.229
ENSG00000138095	LRPPRC	-170.931	1.228
ENSG00000118503	TNFAIP3	-42.238	1.213
ENSG00000249855	EEF1A1P19	-5.174	1.209
ENSG00000090316	MAEA	-78.119	1.207
ENSG00000018699	TTC27	-41.881	1.204
ENSG00000171960	PPIH	-51.430	1.201
ENSG00000070814	TCOF1	-103.020	1.192
ENSG00000136147	PHF11	-27.229	1.191
ENSG00000030066	NUP160	-123.011	1.187
ENSG00000120699	EXOSC8	-34.104	1.179
ENSG00000216866	RPS2P55	-9.548	1.177
ENSG00000166250	CLMP	-134.693	1.176
ENSG00000136044	APPL2	-38.566	1.171
ENSG00000096433	ITPR3	-122.466	1.167
ENSG00000064666	CNN2	-144.666	1.161
ENSG00000167325	RRM1	-99.308	1.160
ENSG00000123136	DDX39A	-89.240	1.154
ENSG00000203760	CENPW	-19.081	1.153
ENSG00000173207	CKS1B	-96.179	1.149
ENSG00000100941	PNN	-59.877	1.149
ENSG00000223459	TCAF1P1	-4.801	1.148
ENSG00000101773	RBBP8	-128.374	1.144
ENSG00000101224	CDC25B	-42.651	1.137
ENSG00000091136	LAMB1	-69.188	1.137
ENSG00000178035	IMPDH2	-144.033	1.136
ENSG00000182004	SNRPE	-109.024	1.131
ENSG00000123374	CDK2	-50.043	1.130
ENSG00000163714	U2SURP	-125.859	1.129
ENSG00000233476	EEF1A1P6	-5.218	1.127
ENSG00000148672	GLUD1	-144.661	1.126
ENSG00000108106	UBE2S	-92.181	1.124
ENSG00000157557	ETS2	-80.006	1.124
ENSG00000072864	NDE1	-58.951	1.120
ENSG00000138796	HADH	-72.274	1.119
ENSG00000125733	TRIP10	-98.031	1.114
ENSG00000122026	RPL21	-8.786	1.113
ENSG00000182054	IDH2	-36.711	1.110
ENSG00000165752	STK32C	-21.677	1.109
ENSG00000134954	ETS1	-52.174	1.103
ENSG00000166037	CEP57	-53.383	1.101
ENSG00000139496	NUP58	-100.552	1.100
ENSG00000134463	ECHDC3	-12.754	1.096
ENSG00000179335	CLK3	-111.577	1.095
ENSG00000124789	NUP153	-70.864	1.088
ENSG00000119326	CTNNAL1	-53.902	1.088
ENSG00000137054	POLR1E	-71.201	1.086
ENSG00000065618	COL17A1	-94.231	1.086
ENSG00000184162	NR2C2AP	-18.203	1.078
ENSG00000128298	BAIAP2L2	-21.357	1.072
ENSG00000141101	NOB1	-62.863	1.072
ENSG00000058085	LAMC2	-62.087	1.069
ENSG00000085788	DDHD2	-81.276	1.063
ENSG00000164904	ALDH7A1	-104.064	1.062
ENSG00000179094	PER1	-48.614	1.052
ENSG00000119953	SMNDC1	-39.179	1.045
ENSG00000119541	VPS4B	-58.758	1.042
ENSG00000164649	CDCA7L	-30.682	1.040
ENSG00000143384	MCL1	-99.502	1.039
ENSG00000070404	FSTL3	-50.073	1.039
ENSG00000013583	HEBP1	-24.044	1.033
ENSG00000175198	PCCA	-31.609	1.032
ENSG00000167088	SNRPD1	-78.976	1.031
ENSG00000179409	GEMIN4	-50.941	1.029
ENSG00000079616	KIF22	-36.090	1.029
ENSG00000084774	CAD	-69.918	1.027
ENSG00000184897	H1FX	-55.560	1.023
ENSG00000134871	COL4A2	-35.002	1.016
ENSG00000118680	MYL12B	-117.182	1.016
ENSG00000069275	NUCKS1	-126.308	1.015
ENSG00000174564	IL20RB	-71.106	1.013
ENSG00000151914	DST	-89.342	1.012
ENSG00000147155	EBP	-66.896	1.009
ENSG00000230897	RPS18P12	-3.876	1.005
ENSG00000168268	NT5DC2	-74.314	1.005
ENSG00000104408	EIF3E	-85.468	1.003
ENSG00000255717	SNHG1	-32.823	1.003
ENSG00000189403	HMGB1	-118.227	1.002
ENSG00000173621	LRFN4	-26.450	0.997
ENSG00000080608	PUM3	-76.089	0.993
ENSG00000230937	MIR205HG	-120.489	0.991
ENSG00000119285	HEATR1	-55.007	0.987
ENSG00000166902	MRPL16	-53.281	0.987
ENSG00000173020	GRK2	-69.048	0.986
ENSG00000102572	STK24	-76.263	0.981
ENSG00000056050	HPF1	-12.722	0.980
ENSG00000113522	RAD50	-95.930	0.980
ENSG00000114544	SLC41A3	-56.591	0.979
ENSG00000185359	HGS	-91.462	0.974
ENSG00000029993	HMGB3	-51.602	0.974
ENSG00000107625	DDX50	-73.883	0.972
ENSG00000161920	MED11	-14.708	0.971
ENSG00000169131	ZNF354A	-22.640	0.969
ENSG00000137513	NARS2	-34.856	0.965
ENSG00000213757	CTC-451P13.1	-5.789	0.963
ENSG00000214063	TSPAN4	-58.610	0.963
ENSG00000265241	RBM8A	-100.729	0.961
ENSG00000105281	SLC1A5	-87.077	0.957
ENSG00000105202	FBL	-123.313	0.956
ENSG00000005022	SLC25A5	-71.693	0.954
ENSG00000147274	RBMX	-60.004	0.952
ENSG00000150093	ITGB1	-87.049	0.951
ENSG00000134955	SLC37A2	-59.254	0.949
ENSG00000138772	ANXA3	-64.856	0.949
ENSG00000115008	IL1A	-37.003	0.948
ENSG00000052126	PLEKHA5	-42.666	0.946
ENSG00000210082	MT-RNR2	-35.549	0.944
ENSG00000234741	GAS5	-99.695	0.944
ENSG00000151693	ASAP2	-79.553	0.937
ENSG00000100234	TIMP3	-51.542	0.936
ENSG00000264772	RP11-186B7.4	-2.545	0.935
ENSG00000072364	AFF4	-76.974	0.935
ENSG00000121552	CSTA	-81.037	0.934
ENSG00000127337	YEATS4	-17.991	0.932
ENSG00000103855	CD276	-61.825	0.930
ENSG00000087470	DNM1L	-65.453	0.920
ENSG00000115368	WDR75	-67.528	0.919
ENSG00000186063	AIDA	-57.869	0.915
ENSG00000224578	HNRNPA1P48	-43.388	0.915
ENSG00000077942	FBLN1	-54.081	0.915
ENSG00000116691	MIIP	-20.164	0.910
ENSG00000184743	ATL3	-59.563	0.909
ENSG00000134905	CARS2	-76.625	0.908
ENSG00000166913	YWHAB	-93.648	0.907
ENSG00000178429	RPS3AP5	-1.687	0.904
ENSG00000087269	NOP14	-71.936	0.902
ENSG00000104738	MCM4	-30.801	0.900
ENSG00000116350	SRSF4	-43.352	0.900
ENSG00000131652	THOC6	-12.154	0.900
ENSG00000161904	LEMD2	-51.820	0.899
ENSG00000107672	NSMCE4A	-21.496	0.897
ENSG00000164828	SUN1	-47.678	0.895
ENSG00000162032	SPSB3	-22.972	0.894
ENSG00000089048	ESF1	-20.155	0.893
ENSG00000166803	KIAA0101	-6.120	0.892
ENSG00000113658	SMAD5	-59.174	0.891
ENSG00000214223	HNRNPA1P10	-27.838	0.891
ENSG00000105486	LIG1	-25.168	0.887
ENSG00000085415	SEH1L	-35.518	0.885
ENSG00000165494	PCF11	-20.234	0.884
ENSG00000204568	MRPS18B	-64.568	0.884
ENSG00000126216	TUBGCP3	-21.047	0.883
ENSG00000213347	MXD3	-4.086	0.881
ENSG00000102007	PLP2	-55.197	0.880
ENSG00000142634	EFHD2	-44.592	0.880
ENSG00000241494	RP11-796G6.1	-2.348	0.880
ENSG00000029363	BCLAF1	-45.575	0.879
ENSG00000122952	ZWINT	-15.023	0.877
ENSG00000147905	ZCCHC7	-45.964	0.874
ENSG00000197111	PCBP2	-60.221	0.874
ENSG00000164930	FZD6	-42.057	0.872
ENSG00000135521	LTV1	-21.510	0.871
ENSG00000095564	BTAF1	-43.022	0.869
ENSG00000143575	HAX1	-53.805	0.867
ENSG00000166582	CENPV	-11.197	0.866
ENSG00000070731	ST6GALNAC2	-18.724	0.863
ENSG00000180198	RCC1	-54.897	0.862
ENSG00000118816	CCNI	-58.452	0.861
ENSG00000163938	GNL3	-73.542	0.860
ENSG00000187164	SHTN1	-23.102	0.858
ENSG00000139514	SLC7A1	-63.124	0.856
ENSG00000028116	VRK2	-49.244	0.855
ENSG00000107438	PDLIM1	-59.257	0.854
ENSG00000189077	TMEM120A	-30.111	0.854
ENSG00000197771	MCMBP	-69.278	0.853
ENSG00000100304	TTLL12	-52.317	0.852
ENSG00000124767	GLO1	-77.583	0.851
ENSG00000114416	FXR1	-90.841	0.851
ENSG00000088387	DOCK9	-62.548	0.850
ENSG00000134294	SLC38A2	-67.152	0.850
ENSG00000152240	HAUS1	-11.065	0.850
ENSG00000196205	EEF1A1P5	-19.898	0.850
ENSG00000104549	SQLE	-62.153	0.850
ENSG00000110700	RPS13	-117.798	0.849
ENSG00000136754	ABI1	-43.922	0.847
ENSG00000196504	PRPF40A	-79.206	0.847
ENSG00000155561	NUP205	-65.499	0.847
ENSG00000117385	P3H1	-24.900	0.845
ENSG00000107581	EIF3A	-89.359	0.845
ENSG00000104231	ZFAND1	-49.965	0.844
ENSG00000182628	SKA2	-35.591	0.842
ENSG00000125676	THOC2	-39.335	0.842
ENSG00000213860	RPL21P75	-8.914	0.842
ENSG00000185834	RPL12P4	-9.931	0.841
ENSG00000067082	KLF6	-60.925	0.840
ENSG00000132967	HMGB1P5	-4.148	0.839
ENSG00000164163	ABCE1	-70.907	0.839
ENSG00000165733	BMS1	-58.663	0.839
ENSG00000136518	ACTL6A	-69.390	0.837
ENSG00000168028	RPSA	-21.658	0.836
ENSG00000144895	EIF2A	-88.394	0.836
ENSG00000172340	SUCLG2	-60.720	0.834
ENSG00000050405	LIMA1	-60.498	0.834
ENSG00000245910	SNHG6	-48.460	0.833
ENSG00000265972	TXNIP	-31.396	0.832
ENSG00000145220	LYAR	-31.669	0.832
ENSG00000212664	RP11-592N21.1	-2.292	0.830
ENSG00000116874	WARS2	-14.357	0.830
ENSG00000198055	GRK6	-37.301	0.829
ENSG00000168002	POLR2G	-55.582	0.826
ENSG00000203837	PNLIPRP3	-70.850	0.825
ENSG00000105135	ILVBL	-23.671	0.825
ENSG00000154473	BUB3	-67.736	0.823
ENSG00000069812	HES2	-9.989	0.820
ENSG00000139675	HNRNPA1L2	-9.079	0.820
ENSG00000126249	PDCD2L	-16.895	0.819
ENSG00000173145	NOC3L	-24.125	0.819
ENSG00000256338	RPL41P2	-4.475	0.819
ENSG00000125731	SH2D3A	-43.095	0.818
ENSG00000226210	WASH7P	-11.697	0.815
ENSG00000062822	POLD1	-24.032	0.814
ENSG00000117335	CD46	-37.815	0.812
ENSG00000169738	DCXR	-47.045	0.812
ENSG00000132475	H3F3B	-107.154	0.809
ENSG00000233270	SNRPEP4	-5.769	0.807
ENSG00000159593	NAE1	-43.204	0.806
ENSG00000042493	CAPG	-68.745	0.806
ENSG00000163655	GMPS	-69.220	0.806
ENSG00000170540	ARL6IP1	-31.665	0.805
ENSG00000139921	TMX1	-34.210	0.804
ENSG00000116001	TIA1	-27.784	0.804
ENSG00000136051	KIAA1033	-25.796	0.804
ENSG00000153975	ZUFSP	-9.170	0.803
ENSG00000138326	RPS24	-90.806	0.803
ENSG00000077152	UBE2T	-24.927	0.803
ENSG00000121892	PDS5A	-57.589	0.802
ENSG00000011260	UTP18	-34.301	0.801
ENSG00000115112	TFCP2L1	-45.898	0.799
ENSG00000128274	A4GALT	-12.970	0.799
ENSG00000198146	ZNF770	-17.247	0.797
ENSG00000078747	ITCH	-39.783	0.796
ENSG00000235552	RPL6P27	-47.633	0.796
ENSG00000213430	HSPD1P1	-19.049	0.795
ENSG00000215492	HNRNPA1P7	-34.358	0.794
ENSG00000125848	FLRT3	-47.070	0.794
ENSG00000134330	IAH1	-68.145	0.794
ENSG00000109445	ZNF330	-38.344	0.794
ENSG00000197958	RPL12	-98.205	0.794
ENSG00000112312	GMNN	-17.851	0.793
ENSG00000156795	WDYHV1	-16.304	0.793
ENSG00000110172	CHORDC1	-18.233	0.793
ENSG00000165732	DDX21	-63.045	0.791
ENSG00000196290	NIF3L1	-11.060	0.789
ENSG00000153140	CETN3	-13.587	0.786
ENSG00000220842	RP11-572P18.1	-46.879	0.784
ENSG00000130309	COLGALT1	-66.027	0.784
ENSG00000269378	ITGB1P1	-16.450	0.784
ENSG00000117625	RCOR3	-15.923	0.784
ENSG00000204592	HLA-E	-53.096	0.783
ENSG00000136159	NUDT15	-21.686	0.782
ENSG00000156508	EEF1A1	-71.975	0.782
ENSG00000151503	NCAPD3	-40.462	0.780
ENSG00000205664	RP11-706O15.1	-5.696	0.780
ENSG00000197905	TEAD4	-10.054	0.780
ENSG00000105968	H2AFV	-31.978	0.778
ENSG00000150753	CCT5	-73.547	0.778
ENSG00000181788	SIAH2	-23.267	0.778
ENSG00000165819	METTL3	-21.281	0.777
ENSG00000170549	IRX1	-12.080	0.777
ENSG00000065427	KARS	-72.194	0.776
ENSG00000226084	RP4-706A16.3	-6.270	0.776
ENSG00000175216	CKAP5	-70.081	0.776
ENSG00000108854	SMURF2	-37.073	0.775
ENSG00000156697	UTP14A	-28.490	0.774
ENSG00000237550	RPL9P9	-49.612	0.774
ENSG00000178038	ALS2CL	-42.725	0.774
ENSG00000178464	RPL10P16	-39.749	0.773
ENSG00000140521	POLG	-40.436	0.772
ENSG00000165501	LRR1	-11.811	0.771
ENSG00000129484	PARP2	-13.700	0.769
ENSG00000073282	TP63	-48.823	0.769
ENSG00000121897	LIAS	-12.386	0.766
ENSG00000068028	RASSF1	-13.245	0.765
ENSG00000156171	DRAM2	-39.761	0.765
ENSG00000119403	PHF19	-21.433	0.764
ENSG00000249353	NPM1P27	-4.363	0.763
ENSG00000181163	NPM1	-61.655	0.763
ENSG00000168209	DDIT4	-31.750	0.762
ENSG00000164167	LSM6	-11.720	0.762
ENSG00000183963	SMTN	-45.541	0.761
ENSG00000154102	C16orf74	-43.915	0.761
ENSG00000139372	TDG	-16.378	0.761
ENSG00000144674	GOLGA4	-63.216	0.761
ENSG00000139350	NEDD1	-20.047	0.760
ENSG00000115866	DARS	-40.651	0.760
ENSG00000243927	MRPS6	-32.641	0.759
ENSG00000089157	RPLP0	-76.986	0.758
ENSG00000140455	USP3	-32.442	0.757
ENSG00000107758	PPP3CB	-32.862	0.756
ENSG00000235776	AC000089.3	-17.779	0.756
ENSG00000165046	LETM2	-12.494	0.756
ENSG00000163682	RPL9	-90.869	0.755
ENSG00000169018	FEM1B	-43.419	0.755
ENSG00000166478	ZNF143	-15.648	0.755
ENSG00000225733	FGD5-AS1	-41.700	0.754
ENSG00000183853	KIRREL	-41.730	0.754
ENSG00000074582	BCS1L	-13.234	0.754
ENSG00000133243	BTBD2	-39.521	0.752
ENSG00000157500	APPL1	-35.893	0.751
ENSG00000242028	HYPK	-1.910	0.751
ENSG00000131269	ABCB7	-47.125	0.750
ENSG00000110713	NUP98	-50.922	0.750
ENSG00000106366	SERPINE1	-22.478	0.749
ENSG00000134419	RPS15A	-32.484	0.749
ENSG00000107833	NPM3	-36.568	0.748
ENSG00000115159	GPD2	-32.909	0.747
ENSG00000053747	LAMA3	-35.009	0.745
ENSG00000225697	SLC26A6	-17.770	0.745
ENSG00000267519	MIR24-2	-10.016	0.745
ENSG00000147403	RPL10	-76.634	0.744
ENSG00000129219	PLD2	-37.502	0.744
ENSG00000231500	RPS18	-87.338	0.744
ENSG00000133706	LARS	-59.729	0.743
ENSG00000162702	ZNF281	-20.428	0.743
ENSG00000214389	RPS3AP26	-16.254	0.742
ENSG00000204899	MZT1	-21.364	0.742
ENSG00000213553	RPLP0P6	-64.327	0.741
ENSG00000048028	USP28	-27.946	0.740
ENSG00000135249	RINT1	-17.405	0.740
ENSG00000242125	SNHG3	-20.380	0.740
ENSG00000035928	RFC1	-45.812	0.739
ENSG00000148634	HERC4	-40.842	0.738
ENSG00000166012	TAF1D	-31.889	0.738
ENSG00000147162	OGT	-23.548	0.738
ENSG00000171490	RSL1D1	-67.371	0.736
ENSG00000151353	TMEM18	-16.340	0.736
ENSG00000137936	BCAR3	-42.133	0.736
ENSG00000052344	PRSS8	-46.134	0.733
ENSG00000232472	EEF1B2P3	-39.783	0.733
ENSG00000131051	RBM39	-54.916	0.733
ENSG00000108788	MLX	-52.121	0.733
ENSG00000249264	EEF1A1P9	-3.773	0.731
ENSG00000002586	CD99	-45.268	0.730
ENSG00000135698	MPHOSPH6	-20.762	0.730
ENSG00000167468	GPX4	-53.860	0.730
ENSG00000166855	CLPX	-41.286	0.727
ENSG00000236992	RPL12P12	-3.608	0.725
ENSG00000117877	CD3EAP	-15.502	0.724
ENSG00000213080	RP11-312J18.5	-9.624	0.723
ENSG00000095319	NUP188	-34.296	0.723
ENSG00000133112	TPT1	-81.854	0.722
ENSG00000135486	HNRNPA1	-25.511	0.722
ENSG00000123268	ATF1	-14.404	0.721
ENSG00000130177	CDC16	-40.846	0.720
ENSG00000196419	XRCC6	-60.371	0.720
ENSG00000009307	CSDE1	-77.542	0.719
ENSG00000139370	SLC15A4	-12.503	0.718
ENSG00000233913	RPL10P9	-27.061	0.717
ENSG00000089009	RPL6	-74.943	0.717
ENSG00000116161	CACYBP	-31.333	0.716
ENSG00000101187	SLCO4A1	-9.800	0.714
ENSG00000138246	DNAJC13	-36.599	0.713
ENSG00000111142	METAP2	-54.858	0.713
ENSG00000139684	ESD	-57.469	0.713
ENSG00000108651	UTP6	-35.590	0.712
ENSG00000171462	DLK2	-9.870	0.711
ENSG00000117360	PRPF3	-41.057	0.710
ENSG00000219201	RP11-181C21.4	-12.621	0.710
ENSG00000153823	PID1	-15.607	0.710
ENSG00000253785	CTC-308K20.3	-17.132	0.710
ENSG00000179967	PPP1R14BP3	-7.055	0.709
ENSG00000126453	BCL2L12	-17.180	0.709
ENSG00000174780	SRP72	-48.864	0.709
ENSG00000184220	CMSS1	-37.459	0.708
ENSG00000138698	RAP1GDS1	-45.378	0.708
ENSG00000181218	HIST3H2A	-12.482	0.706
ENSG00000113083	LOX	-8.543	0.706
ENSG00000155959	VBP1	-27.423	0.704
ENSG00000137309	HMGA1	-50.636	0.703
ENSG00000175061	LRRC75A-AS1	-66.342	0.703
ENSG00000137656	BUD13	-11.414	0.703
ENSG00000105193	RPS16	-51.331	0.702
ENSG00000257103	LSM14A	-44.074	0.702
ENSG00000204498	NFKBIL1	-12.775	0.701
ENSG00000253676	TAGLN2P1	-5.725	0.701
ENSG00000232389	RP11-134K13.2	-6.703	0.701
ENSG00000102738	MRPS31	-15.555	0.701
ENSG00000232888	RPS11P5	-6.473	0.700
ENSG00000105928	DFNA5	-28.341	0.699
ENSG00000116750	UCHL5	-36.935	0.699
ENSG00000204392	LSM2	-18.285	0.699
ENSG00000180211	RP1-278E11.3	-8.685	0.699
ENSG00000198618	PPIAP22	-11.911	0.698
ENSG00000139218	SCAF11	-27.023	0.698
ENSG00000004975	DVL2	-15.146	0.698
ENSG00000122406	RPL5	-66.839	0.697
ENSG00000113272	THG1L	-36.008	0.697
ENSG00000171824	EXOSC10	-46.944	0.695
ENSG00000173653	RCE1	-7.031	0.695
ENSG00000113649	TCERG1	-42.150	0.695
ENSG00000120253	NUP43	-17.678	0.695
ENSG00000125450	NUP85	-39.757	0.694
ENSG00000094631	HDAC6	-17.388	0.693
ENSG00000230383	AC009245.3	-5.655	0.693
ENSG00000064726	BTBD1	-47.648	0.691
ENSG00000203875	SNHG5	-60.301	0.691
ENSG00000138688	KIAA1109	-26.170	0.690
ENSG00000163874	ZC3H12A	-14.510	0.689
ENSG00000148337	CIZ1	-33.538	0.689
ENSG00000163584	RPL22L1	-23.969	0.689
ENSG00000137700	SLC37A4	-9.488	0.688
ENSG00000166788	SAAL1	-22.220	0.688
ENSG00000229119	CTB-63M22.1	-15.558	0.688
ENSG00000163527	STT3B	-27.085	0.688
ENSG00000164032	H2AFZ	-52.983	0.687
ENSG00000100749	VRK1	-8.604	0.687
ENSG00000142676	RPL11	-73.198	0.686
ENSG00000083312	TNPO1	-39.842	0.686
ENSG00000118197	DDX59	-12.654	0.685
ENSG00000108468	CBX1	-47.390	0.684
ENSG00000100796	PPP4R3A	-20.652	0.684
ENSG00000023445	BIRC3	-20.229	0.684
ENSG00000128708	HAT1	-21.502	0.684
ENSG00000273748	AL592183.1	-1.734	0.683
ENSG00000123737	EXOSC9	-14.805	0.681
ENSG00000251562	MALAT1	-27.792	0.680
ENSG00000228929	RPS13P2	-5.079	0.679
ENSG00000140988	RPS2	-17.997	0.679
ENSG00000172053	QARS	-45.852	0.679
ENSG00000176225	RTTN	-36.364	0.679
ENSG00000135164	DMTF1	-17.407	0.678
ENSG00000116560	SFPQ	-41.806	0.677
ENSG00000266338	NBPF15	-13.725	0.676
ENSG00000100380	ST13	-63.213	0.676
ENSG00000240342	RPS2P5	-10.439	0.676
ENSG00000213465	ARL2	-30.956	0.675
ENSG00000116906	GNPAT	-51.318	0.674
ENSG00000125691	RPL23	-63.423	0.674
ENSG00000106268	NUDT1	-8.303	0.672
ENSG00000186298	PPP1CC	-44.613	0.672
ENSG00000213741	RPS29	-66.214	0.672
ENSG00000198830	HMGN2	-26.239	0.669
ENSG00000161021	MAML1	-13.856	0.669
ENSG00000143514	TP53BP2	-17.912	0.668
ENSG00000176890	TYMS	-12.991	0.668
ENSG00000077150	NFKB2	-30.358	0.668
ENSG00000125485	DDX31	-14.222	0.668
ENSG00000106853	PTGR1	-5.855	0.667
ENSG00000227008	RP3-417G15.1	-1.587	0.667
ENSG00000108592	FTSJ3	-28.936	0.666
ENSG00000004478	FKBP4	-59.433	0.666
ENSG00000107036	RIC1	-33.423	0.664
ENSG00000189343	RPS2P46	-34.321	0.664
ENSG00000071082	RPL31	-69.597	0.664
ENSG00000132964	CDK8	-25.228	0.663
ENSG00000100934	SEC23A	-40.852	0.663
ENSG00000039123	SKIV2L2	-32.252	0.663
ENSG00000075188	NUP37	-24.282	0.663
ENSG00000250182	EEF1A1P13	-5.382	0.662
ENSG00000117593	DARS2	-25.454	0.662
ENSG00000278259	MYO19	-28.503	0.660
ENSG00000186468	RPS23	-56.616	0.659
ENSG00000149573	MPZL2	-29.171	0.657
ENSG00000171853	TRAPPC12	-22.693	0.656
ENSG00000112651	MRPL2	-9.918	0.655
ENSG00000096696	DSP	-53.248	0.655
ENSG00000145425	RPS3A	-70.886	0.655
ENSG00000109917	ZPR1	-25.283	0.654
ENSG00000116918	TSNAX	-8.053	0.653
ENSG00000242299	RP11-234A1.1	-32.550	0.653
ENSG00000169100	SLC25A6	-46.492	0.653
ENSG00000086570	FAT2	-12.705	0.652
ENSG00000169813	HNRNPF	-57.561	0.652
ENSG00000141458	NPC1	-28.469	0.651
ENSG00000073536	NLE1	-14.596	0.650
ENSG00000107815	C10orf2	-11.460	0.649
ENSG00000137154	RPS6	-56.313	0.648
ENSG00000070495	JMJD6	-22.129	0.648
ENSG00000162714	ZNF496	-22.292	0.647
ENSG00000198498	TMA16	-12.967	0.647
ENSG00000134186	PRPF38B	-19.804	0.647
ENSG00000174444	RPL4	-66.515	0.647
ENSG00000073050	XRCC1	-22.722	0.647
ENSG00000100129	EIF3L	-50.982	0.647
ENSG00000213862	CTD-2270N23.1	-4.382	0.646
ENSG00000101782	RIOK3	-30.840	0.646
ENSG00000226525	RPS7P10	-16.495	0.646
ENSG00000075643	MOCOS	-32.325	0.646
ENSG00000138382	METTL5	-33.511	0.646
ENSG00000075234	TTC38	-7.901	0.645
ENSG00000163510	CWC22	-12.551	0.645
